id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	bigg id	kegg id	kegg pathways	metacyc pathways
AACPS6_c0	>	Cytosol_0	SO_0194	CustomReaction_c0				(1)  cpd00002[c0] + (1)  cpd11493[c0] + (1)  ptdca_c0[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd17029[c0]	(1)  ATP_c0[c0] + (1)  ACP_c0[c0] + (1)  ptdca_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  pentadecanoyl-ACP (n-C15:0ACP) _c0[c0]				
AACPS7_c0	>	Cytosol_0	SO_0194	CustomReaction_c0				(1)  cpd00002[c0] + (1)  cpd11493[c0] + (1)  hpdca_c0[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd17018[c0]	(1)  ATP_c0[c0] + (1)  ACP_c0[c0] + (1)  hpdca_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  heptadecanoyl-ACP (n-C17:0ACP) _c0[c0]				
AACPS8_c0	>	Cytosol_0	SO_0194	CustomReaction_c0				(1)  cpd00002[c0] + (1)  cpd01080[c0] + (1)  cpd11493[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  ocdacp_c0[c0]	(1)  ATP_c0[c0] + (1)  ocdca_c0[c0] + (1)  ACP_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  ocdacp_c0[c0]				
AACPS9_c0	>	Cytosol_0	SO_0194	CustomReaction_c0				(1)  cpd00002[c0] + (1)  cpd11493[c0] + (1)  fa13_c0[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd17009[c0]	(1)  ATP_c0[c0] + (1)  ACP_c0[c0] + (1)  fa13_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  Iso-C13:0 ACP_c0[c0]				
ABTA_c0	>	Cytosol_0	SO_1276	CustomReaction_c0				(1)  4abut_c0[c0] + (1)  cpd00024[c0] => (1)  cpd00023[c0] + (1)  sucsal_c0[c0]	(1)  4abut_c0[c0] + (1)  2-Oxoglutarate_c0[c0] => (1)  L-Glutamate_c0[c0] + (1)  sucsal_c0[c0]				
ACACCB_c0	=	Cytosol_0	SO_1677	Acetyl-CoA:acetyl-CoA C-acetyltransferase_c0		7.06		(2)  cpd00022[c0] <=> (1)  cpd00010[c0] + (1)  cpd00279[c0]	(2)  Acetyl-CoA_c0[c0] <=> (1)  CoA_c0[c0] + (1)  Acetoacetyl-CoA_c0[c0]	AACOAT	R00238	Fatty acid degradation|Synthesis and degradation of ketone bodies|Valine, leucine and isoleucine degradation|Lysine degradation|Benzoate degradation|Tryptophan metabolism|Pyruvate metabolism|Glyoxylate and dicarboxylate metabolism|Propanoate metabolism|Butanoate metabolism|Carbon fixation pathways in prokaryotes|Terpenoid backbone biosynthesis	ACETOACETATE-DEG-PWY|AROMATIC-COMPOUNDS-DEGRADATION|Acetyl-CoA-Butyrate|Amino-Acid-Degradation|Autotrophic-CO2-Fixation|Biosynthesis|C1-COMPOUNDS|CARBOXYLATES-DEG|CENTFERM-PWY|CO2-Fixation|Cofactor-Biosynthesis|DITERPENOID-SYN|Degradation|ERGOSTEROL-SYN-PWY|Energy-Metabolism|Fatty-Acid-and-Lipid-Degradation|Fermentation|GGPP-Biosynthesis|GLUDEG-II-PWY|GLUTAMATE-DEG|ISOPRENOIDS|LYSINE-DEG|Lipid-Biosynthesis|OTHER-ENERGY|Other-biosynthesis|P163-PWY|PWY1-3|PWY66-367|PWY66-368|PWY66-5|Polyprenyl-Biosynthesis|Pyruvate-Degradation|SECONDARY-METABOLITE-BIOSYNTHESIS|Sterol-Biosynthesis|TOLUENE-DEG|TRYPTOPHAN-DEG|TRYPTOPHAN-DEGRADATION-1|Terpenoid-Biosynthesis
ACACCT_c0	<	Cytosol_0	(SO_1891 and SO_1892)	Acetoacetyl-CoA:acetate CoA-transferase_c0		1.54		(1)  cpd00029[c0] + (1)  cpd00279[c0] <= (1)  cpd00022[c0] + (1)  cpd00142[c0]	(1)  Acetate_c0[c0] + (1)  Acetoacetyl-CoA_c0[c0] <= (1)  Acetyl-CoA_c0[c0] + (1)  Acetoacetate_c0[c0]	ACACCT	R01359	Propanoate metabolism	ACETOACETATE-DEG-PWY|Degradation|Energy-Metabolism|Fatty-Acid-and-Lipid-Degradation|Fermentation|Pyruvate-Degradation
ACACT10R_c0	>	Cytosol_0	SO_0020	CustomReaction_c0				(1)  cpd00010[c0] + (1)  cpd02124[c0] => (1)  cpd00022[c0] + (1)  ppcoa_c0[c0]	(1)  CoA_c0[c0] + (1)  2-Methylacetoacetyl-CoA_c0[c0] => (1)  Acetyl-CoA_c0[c0] + (1)  ppcoa_c0[c0]				
ACALDI_c0	>	Cytosol_0	SO_2136	acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)_c0		-4.7		(1)  cpd00003[c0] + (1)  cpd00010[c0] + (1)  cpd00071[c0] => (1)  cpd00004[c0] + (1)  cpd00022[c0] + (1)  cpd00067[c0]	(1)  NAD_c0[c0] + (1)  CoA_c0[c0] + (1)  Acetaldehyde_c0[c0] => (1)  NADH_c0[c0] + (1)  Acetyl-CoA_c0[c0] + (1)  H+_c0[c0]	ACALD	R00228	Benzoate degradation|Pyruvate metabolism|Dioxin degradation|Xylene degradation	2-Aminoethylphosphonate-Degradation|AROMATIC-COMPOUNDS-DEGRADATION|Alcohol-Degradation|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Benzoate-Degradation|Biosynthesis|CARBOXYLATES-DEG|Catechol-Degradation|Degradation|ETOH-ACETYLCOA-ANA-PWY|Energy-Metabolism|Ethanol-Degradation|FERMENTATION-PWY|Fermentation|GLYCINE-SYN|IND-AMINO-ACID-SYN|MANDELATE-DEG|NUCLEO-DEG|Noncarbon-Nutrients|Other-Degradation|P122-PWY|P161-PWY|P441-PWY|P461-PWY|PHOSPHONOTASE-PWY|PWY0-1277|PWY0-1297|PWY0-1298|Phosphorus-Compounds|Pyrimidine-Degradation|Pyruvate-Degradation|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|THREOCAT-PWY|THREONINE-DEG|TOLUENE-DEG|TRYPTOPHAN-DEG
ACBIPGT_c0	>	Cytosol_0	SO_1037	CustomReaction_c0				(1)  cpd00038[c0] + (1)  cpd00067[c0] + (1)  cpd03919[c0] => (1)  adgcoba_c0[c0] + (1)  cpd00012[c0]	(1)  GTP_c0[c0] + (1)  H+_c0[c0] + (1)  Adenosyl cobinamide phosphate_c0[c0] => (1)  adgcoba_c0[c0] + (1)  PPi_c0[c0]				
ACCOAC_c0	>	Cytosol_0	(SO_0511 and SO_0840)	CustomReaction_c0				(1)  cpd00002[c0] + (1)  cpd00022[c0] + (1)  hco3_c0[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00070[c0]	(1)  ATP_c0[c0] + (1)  Acetyl-CoA_c0[c0] + (1)  hco3_c0[c0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  Malonyl-CoA_c0[c0]				
ACCOAL_c0	>	Cytosol_0	(SO_1900 or SO_2743)	CustomReaction_c0				(1)  cpd00002[c0] + (1)  cpd00010[c0] + (1)  cpd00141[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  ppcoa_c0[c0]	(1)  ATP_c0[c0] + (1)  CoA_c0[c0] + (1)  Propionate_c0[c0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  ppcoa_c0[c0]				
ACGAMK_c0	>	Cytosol_0	SO_3507	ATP:N-acetyl-D-glucosamine 6-phosphotransferase_c0		-14.03		(1)  cpd00002[c0] + (1)  cpd00122[c0] => (1)  cpd00008[c0] + (1)  cpd00067[c0] + (1)  cpd00293[c0]	(1)  ATP_c0[c0] + (1)  N-Acetyl-D-glucosamine_c0[c0] => (1)  ADP_c0[c0] + (1)  H+_c0[c0] + (1)  N-Acetyl-D-glucosamine 6-phosphate_c0[c0]	ACGAMK	R01201	Amino sugar and nucleotide sugar metabolism	
ACGAT2_c0	>	Cytosol_0	SO_3503	Transport of N-acetylglucosamine, extracellular_c0		0		(1)  cpd00067[e0] + (1)  cpd00122[e0] => (1)  cpd00067[c0] + (1)  cpd00122[c0]	(1)  H+_e0[e0] + (1)  N-Acetyl-D-glucosamine_e0[e0] => (1)  H+_c0[c0] + (1)  N-Acetyl-D-glucosamine_c0[c0]	ACGAt2			
ACGK_c0	>	Cytosol_0	SO_0276	CustomReaction_c0				(1)  cpd00002[c0] + (1)  cpd00477[c0] => (1)  acg5p_c0[c0] + (1)  cpd00008[c0]	(1)  ATP_c0[c0] + (1)  N-Acetyl-L-glutamate_c0[c0] => (1)  acg5p_c0[c0] + (1)  ADP_c0[c0]				
ACGS_c0	>	Cytosol_0	SO_4245	acetyl-CoA:L-glutamate N-acetyltransferase_c0		-5.29		(1)  cpd00022[c0] + (1)  cpd00023[c0] => (1)  cpd00010[c0] + (1)  cpd00067[c0] + (1)  cpd00477[c0]	(1)  Acetyl-CoA_c0[c0] + (1)  L-Glutamate_c0[c0] => (1)  CoA_c0[c0] + (1)  H+_c0[c0] + (1)  N-Acetyl-L-glutamate_c0[c0]	ACGS	R00259	Arginine and proline metabolism	ARG+POLYAMINE-SYN|ARGININE-SYN|ARGSYN-PWY|ARGSYNBSUB-PWY|Amino-Acid-Biosynthesis|Biosynthesis|GLUTORN-PWY|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|Polyamine-Biosynthesis
ACHBS_c0	>	Cytosol_0	((SO_2278 and SO_2279) or (SO_4346 and SO_4347))	CustomReaction_c0				(1)  2obut_c0[c0] + (1)  cpd00020[c0] + (1)  cpd00067[c0] => (1)  2ahbut_c0[c0] + (1)  cpd00011[c0]	(1)  2obut_c0[c0] + (1)  Pyruvate_c0[c0] + (1)  H+_c0[c0] => (1)  2ahbut_c0[c0] + (1)  CO2_c0[c0]				
ACKR_c0	=	Cytosol_0	(SO_2915 or SO_3613)	ATP:acetate phosphotransferase_c0		-5.36		(1)  cpd00002[c0] + (1)  cpd00029[c0] <=> (1)  cpd00008[c0] + (1)  cpd00196[c0]	(1)  ATP_c0[c0] + (1)  Acetate_c0[c0] <=> (1)  ADP_c0[c0] + (1)  Acetylphosphate_c0[c0]	ACKr	R00315	Taurine and hypotaurine metabolism|Pyruvate metabolism|Methane metabolism|Carbon fixation pathways in prokaryotes	ACETATEUTIL-PWY|AROMATIC-COMPOUNDS-DEGRADATION|Acetate-Formation|Acetyl-CoA-Butyrate|Amino-Acid-Degradation|CARBOXYLATES-DEG|Carbohydrates-Degradation|Degradation|Energy-Metabolism|FERMENTATION-PWY|Fermentation|GALLATE-DEG|LYSINE-DEG|METH-ACETATE-PWY|METHANOGENESIS|NUCLEO-DEG|Other-Degradation|P124-PWY|P142-PWY|P161-PWY|P163-PWY|P164-PWY|P3-PWY|P41-PWY|P441-PWY|P461-PWY|PROPFERM-PWY|PWY0-1312|Purine-Degradation|Pyruvate-Degradation|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides
ACLS_c0	>	Cytosol_0	((SO_4346 and SO_4347) or (SO_2278 and SO_2279))	CustomReaction_c0				(2)  cpd00020[c0] + (1)  cpd00067[c0] => (1)  alacs_c0[c0] + (1)  cpd00011[c0]	(2)  Pyruvate_c0[c0] + (1)  H+_c0[c0] => (1)  alacs_c0[c0] + (1)  CO2_c0[c0]				
ACMAT1_c0	>	Cytosol_0	(SO_2774 or SO_3072)	CustomReaction_c0				(1)  cpd00067[c0] + (1)  cpd11494[c0] + (1)  malacp_c0[c0] => (1)  cpd00011[c0] + (1)  cpd11488[c0] + (1)  cpd11493[c0]	(1)  H+_c0[c0] + (1)  Acetyl-ACP_c0[c0] + (1)  malacp_c0[c0] => (1)  CO2_c0[c0] + (1)  Acetoacetyl-ACP_c0[c0] + (1)  ACP_c0[c0]				
ACOAD10_c0	=	Cytosol_0	SO_0021	CustomReaction_c0				(1)  2mbcoa_c0[c0] + (1)  cpd00003[c0] <=> (1)  2mb2coa_c0[c0] + (1)  cpd00004[c0] + (1)  cpd00067[c0]	(1)  2mbcoa_c0[c0] + (1)  NAD_c0[c0] <=> (1)  2mb2coa_c0[c0] + (1)  NADH_c0[c0] + (1)  H+_c0[c0]				
ACOAD8_c0	>	Cytosol_0	SO_1897	CustomReaction_c0				(1)  cpd00003[c0] + (1)  cpd01882[c0] => (1)  3mb2coa_c0[c0] + (1)  cpd00004[c0] + (1)  cpd00067[c0]	(1)  NAD_c0[c0] + (1)  Isovaleryl-CoA_c0[c0] => (1)  3mb2coa_c0[c0] + (1)  NADH_c0[c0] + (1)  H+_c0[c0]				
ACOAD9_c0	=	Cytosol_0	SO_0021	CustomReaction_c0				(1)  cpd00003[c0] + (1)  cpd00481[c0] <=> (1)  2mp2coa_c0[c0] + (1)  cpd00004[c0] + (1)  cpd00067[c0]	(1)  NAD_c0[c0] + (1)  Isobutyryl-CoA_c0[c0] <=> (1)  2mp2coa_c0[c0] + (1)  NADH_c0[c0] + (1)  H+_c0[c0]				
ACOATA_c0	=	Cytosol_0	(SO_2778 or SO_1742 or SO_2901 or SO_2853)	acetyl-CoA:[acyl-carrier-protein] S-acetyltransferase_c0		0		(1)  cpd00022[c0] + (1)  cpd11493[c0] <=> (1)  cpd00010[c0] + (1)  cpd11494[c0]	(1)  Acetyl-CoA_c0[c0] + (1)  ACP_c0[c0] <=> (1)  CoA_c0[c0] + (1)  Acetyl-ACP_c0[c0]	ACOATA	R01624	Fatty acid biosynthesis	Biosynthesis|FASYN-INITIAL-PWY|Fatty-acid-biosynthesis|Lipid-Biosynthesis|PWY0-881
ACODA_c0	>	Cytosol_0	SO_3749	CustomReaction_c0				(1)  acorn_c0[c0] + (1)  cpd00001[c0] => (1)  cpd00029[c0] + (1)  ornl_c0[c0]	(1)  acorn_c0[c0] + (1)  H2O_c0[c0] => (1)  Acetate_c0[c0] + (1)  ornl_c0[c0]				
ACONT_c0	=	Cytosol_0	(SO_0432 or SO_0343)	citrate hydroxymutase_c0		1.42		(1)  cpd00137[c0] <=> (1)  cpd00260[c0]	(1)  Citrate_c0[c0] <=> (1)  Isocitrate_c0[c0]	ACONT	R01324		
ACOTA_c0	=	Cytosol_0	SO_0617	CustomReaction_c0				(1)  acorn_c0[c0] + (1)  cpd00024[c0] <=> (1)  acg5sa_c0[c0] + (1)  cpd00023[c0]	(1)  acorn_c0[c0] + (1)  2-Oxoglutarate_c0[c0] <=> (1)  acg5sa_c0[c0] + (1)  L-Glutamate_c0[c0]				
ACPS1_c0	>	Cytosol_0	SO_1352	CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase_c0				(1)  cpd00010[c0] + (1)  cpd12370[c0] => (1)  cpd00045[c0] + (1)  cpd00067[c0] + (1)  cpd11493[c0]	(1)  CoA_c0[c0] + (1)  apo-ACP_c0[c0] => (1)  Adenosine 3-5-bisphosphate_c0[c0] + (1)  H+_c0[c0] + (1)  ACP_c0[c0]		R01625	Pantothenate and CoA biosynthesis	Biosynthesis|Cofactor-Biosynthesis
ACPSC_c0	>	Cytosol_0	SO_3116	CustomReaction_c0				(1)  cpd00001[c0] + (1)  cpd11493[c0] => (1)  cpd00067[c0] + (1)  cpd12370[c0] + (1)  pan4p_c0[c0]	(1)  H2O_c0[c0] + (1)  ACP_c0[c0] => (1)  H+_c0[c0] + (1)  apo-ACP_c0[c0] + (1)  pan4p_c0[c0]				
ACS_c0	>	Cytosol_0	SO_2743	Acetate:CoA ligase (AMP-forming)_c0		-20.01		(1)  cpd00002[c0] + (1)  cpd00010[c0] + (1)  cpd00029[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd00022[c0]	(1)  ATP_c0[c0] + (1)  CoA_c0[c0] + (1)  Acetate_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  Acetyl-CoA_c0[c0]	ACS	R00235	Glycolysis / Gluconeogenesis|Methane metabolism|Carbon fixation pathways in prokaryotes	ACETATEUTIL-PWY|Alcohol-Degradation|Amino-Acid-Degradation|CARBOXYLATES-DEG|Degradation|Ethanol-Degradation|GLUDEG-II-PWY|GLUTAMATE-DEG|PWY0-1313|PWY66-161|PWY66-162|PWY66-21|SECONDARY-METABOLITE-DEGRADATION|TERPENOID-DEG
ACT6_c0	=	Cytosol_0	Unknown	acetate reversible transport via proton symport_c0	2.A.1.13|TC-2.A.1.13	0		(1)  cpd00029[e0] + (1)  cpd00067[e0] <=> (1)  cpd00029[c0] + (1)  cpd00067[c0]	(1)  Acetate_e0[e0] + (1)  H+_e0[e0] <=> (1)  Acetate_c0[c0] + (1)  H+_c0[c0]	ACt2r			
ADA_c0	>	Cytosol_0	SO_4731	CustomReaction_c0				(1)  cpd00001[c0] + (1)  cpd00067[c0] + (1)  cpd00182[c0] => (1)  cpd00246[c0] + (1)  nh4_c0[c0]	(1)  H2O_c0[c0] + (1)  H+_c0[c0] + (1)  Adenosine_c0[c0] => (1)  Inosine_c0[c0] + (1)  nh4_c0[c0]				
ADCL_c0	>	Cytosol_0	(SO_2615 or SO_2614)	CustomReaction_c0				(1)  4adcho_c0[c0] => (1)  4abz_c0[c0] + (1)  cpd00020[c0] + (1)  cpd00067[c0]	(1)  4adcho_c0[c0] => (1)  4abz_c0[c0] + (1)  Pyruvate_c0[c0] + (1)  H+_c0[c0]				
ADCOBAK_c0	>	Cytosol_0	SO_1037	R05221_c0		-14.03		(1)  cpd00002[c0] + (1)  cpd03918[c0] => (1)  cpd00008[c0] + (1)  cpd00067[c0] + (1)  cpd03919[c0]	(1)  ATP_c0[c0] + (1)  Adenosyl cobinamide_c0[c0] => (1)  ADP_c0[c0] + (1)  H+_c0[c0] + (1)  Adenosyl cobinamide phosphate_c0[c0]	ADCOBAK	R05221	Porphyrin and chlorophyll metabolism	Adenosylcobalamin-Biosynthesis|Biosynthesis|COBALSYN-PWY|Cobalamin-Biosynthesis|Cofactor-Biosynthesis|Vitamin-Biosynthesis
ADCOBAS_c0	>	Cytosol_0	SO_1321	adenosylcobinamide amidohydrolase_c0		0.46		(1)  cpd02039[c0] + (1)  cpd03917[c0] => (1)  cpd00001[c0] + (1)  cpd03918[c0]	(1)  1-Aminopropan-2-ol_c0[c0] + (1)  Adenosylcobyric acid_c0[c0] => (1)  H2O_c0[c0] + (1)  Adenosyl cobinamide_c0[c0]	ADCOBASr	R05226	Porphyrin and chlorophyll metabolism	
ADCOBHEXS_c0	>	Cytosol_0	SO_1038	R05225_c0	6.3.5.10	-27.27		(4)  cpd00001[c0] + (4)  cpd00002[c0] + (4)  cpd00053[c0] + (1)  cpd03916[c0] => (4)  cpd00008[c0] + (4)  cpd00009[c0] + (4)  cpd00023[c0] + (4)  cpd00067[c0] + (1)  cpd03917[c0]	(4)  H2O_c0[c0] + (4)  ATP_c0[c0] + (4)  L-Glutamine_c0[c0] + (1)  Adenosyl cobyrinate diamide_c0[c0] => (4)  ADP_c0[c0] + (4)  Phosphate_c0[c0] + (4)  L-Glutamate_c0[c0] + (4)  H+_c0[c0] + (1)  Adenosylcobyric acid_c0[c0]	ADCOBHEXS	R05225	Porphyrin and chlorophyll metabolism	Adenosylcobalamin-Biosynthesis|Biosynthesis|Cobalamin-Biosynthesis|Cofactor-Biosynthesis|P381-PWY|Vitamin-Biosynthesis
ADCS_c0	>	Cytosol_0	(SO_0613 and SO_2221)	CustomReaction_c0				(1)  cpd00053[c0] + (1)  cpd00216[c0] => (1)  4adcho_c0[c0] + (1)  cpd00023[c0]	(1)  L-Glutamine_c0[c0] + (1)  Chorismate_c0[c0] => (1)  4adcho_c0[c0] + (1)  L-Glutamate_c0[c0]				
ADK1_c0	=	Cytosol_0	SO_2018	ATP:AMP phosphotransferase_c0		9.53		(1)  cpd00002[c0] + (1)  cpd00018[c0] <=> (2)  cpd00008[c0]	(1)  ATP_c0[c0] + (1)  AMP_c0[c0] <=> (2)  ADP_c0[c0]	ADK1	R00127	Purine metabolism	Biosynthesis|DENOVOPURINE2-PWY|Metabolic-Clusters|Nucleotide-Biosynthesis|P1-PWY|PRPP-PWY|PUR-NUC-SYN|PYR-NUC-SYN|Purine-Nucleotide-De-Novo-Biosynthesis|Purine-Nucleotides-Salvage
ADK3_c0	=	Cytosol_0	SO_2018	adentylate kinase (GTP)_c0		9.53		(1)  cpd00018[c0] + (1)  cpd00038[c0] <=> (1)  cpd00008[c0] + (1)  cpd00031[c0]	(1)  AMP_c0[c0] + (1)  GTP_c0[c0] <=> (1)  ADP_c0[c0] + (1)  GDP_c0[c0]	ADK1_2			
ADK4_c0	=	Cytosol_0	SO_2018	adentylate kinase (ITP)_c0		9.53		(1)  cpd00018[c0] + (1)  cpd00068[c0] <=> (1)  cpd00008[c0] + (1)  cpd00090[c0]	(1)  AMP_c0[c0] + (1)  ITP_c0[c0] <=> (1)  ADP_c0[c0] + (1)  IDP_c0[c0]	ADK1_3			
